,faculty,price,purpose1,purpose2,purpose3,freaquency,gender,class label
0,2,6,5,0,0,1,1,Laptop (Notebook)
1,2,6,6,0,0,0,1,Laptop (Notebook)
2,2,6,6,0,0,3,1,Laptop (Notebook)
3,2,2,5,7,7,1,1,Laptop (Notebook)
4,2,4,0,4,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
5,2,2,5,0,0,0,1,Laptop (Notebook)
6,2,1,0,4,4,2,1,"Tablet (Ipad , Galaxy Tabs)"
7,2,3,0,1,1,3,2,Laptop (Notebook)
8,2,3,0,7,7,1,1,Laptop (Notebook)
9,2,0,0,6,6,2,2,Laptop (Notebook)
10,2,1,0,1,1,2,2,"Tablet (Ipad , Galaxy Tabs)"
11,2,2,6,6,6,0,1,Laptop (Notebook)
12,2,2,0,4,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
13,2,6,5,3,3,2,1,Laptop (Notebook)
14,2,3,0,4,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
15,4,0,0,4,4,1,2,"Tablet (Ipad , Galaxy Tabs)"
16,2,1,0,7,7,0,0,Laptop (Notebook)
17,2,0,0,4,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
18,2,6,0,6,6,1,2,Laptop (Notebook)
19,2,1,0,6,6,0,1,Laptop (Notebook)
20,2,0,0,7,7,2,1,"Tablet (Ipad , Galaxy Tabs)"
21,2,3,5,0,0,0,1,Laptop (Notebook)
22,2,2,1,7,7,3,1,Laptop (Notebook)
23,2,6,5,0,0,0,1,Laptop (Notebook)
24,2,2,5,0,0,1,1,Laptop (Notebook)
25,3,6,5,0,0,1,2,Laptop (Notebook)
26,2,3,0,6,6,3,1,Laptop (Notebook)
27,2,2,5,0,0,0,1,Laptop (Notebook)
28,2,1,6,0,0,2,2,"Tablet (Ipad , Galaxy Tabs)"
29,2,3,3,0,0,1,2,"Tablet (Ipad , Galaxy Tabs)"
30,3,2,0,4,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
